Entry ID,[Str. Pos.],[Str. Size],[Str. Encoding],Str. Value,[Str. Data]
1712,0x2b8838,9,Shift_JIS,ITEM USE,"""ITEM USE"""
1713,0x2b8844,5,Shift_JIS,KIAI,"""KIAI"""
1714,0x2b884c,8,Shift_JIS,VICTORY,"""VICTORY"""
1715,0x2b8854,7,Shift_JIS,KOUTAI,"""KOUTAI"""
1716,0x2b885c,7,Shift_JIS,TOUSOU,"""TOUSOU"""
1717,0x2b8864,9,Shift_JIS,EISHO(1),"""EISHO(1)"""
1718,0x2b8870,9,Shift_JIS,EISHO(2),"""EISHO(2)"""
1719,0x2b887c,9,Shift_JIS,EISHO(3),"""EISHO(3)"""
1720,0x2b8888,6,Shift_JIS,MAGIC,"""MAGIC"""
1721,0x2b8890,5,Shift_JIS,ITEM,"""ITEM"""
1722,0x2b8898,9,Shift_JIS,VICTORY1,"""VICTORY1"""
1723,0x2b88a4,9,Shift_JIS,VICTORY2,"""VICTORY2"""
1724,0x2b88b0,9,Shift_JIS,VICTORY3,"""VICTORY3"""
1725,0x2b88bc,8,Shift_JIS,TOKUSHU,"""TOKUSHU"""
1726,0x2b88c4,8,Shift_JIS,ENSHUTU,"""ENSHUTU"""
1727,0x2b88cc,11,Shift_JIS,HP RECOVER,"""HP RECOVER"""
1728,0x2b88d8,11,Shift_JIS,DAI DAMAGE,"""DAI DAMAGE"""
1729,0x2b88e4,10,Shift_JIS,OFF TUIKA,"""OFF TUIKA"""
1730,0x2b88f0,15,Shift_JIS,OFF NEARATTACK,"""OFF NEARATTACK"""
1731,0x2b8900,15,Shift_JIS,OFF EISHOMAGIC,"""OFF EISHOMAGIC"""
1732,0x2b8910,15,Shift_JIS,REF EISHOMAGIC,"""REF EISHOMAGIC"""
1733,0x2b8924,6,Shift_JIS,TAIKI,"""TAIKI"""
1734,0x2b892c,7,Shift_JIS,HINSHI,"""HINSHI"""
1735,0x2b8934,11,Shift_JIS,TAIKI MUKU,"""TAIKI MUKU"""
1736,0x2b8940,12,Shift_JIS,HINSHI MUKU,"""HINSHI MUKU"""
1737,0x2b894c,5,Shift_JIS,IDOU,"""IDOU"""
1738,0x2b8954,9,Shift_JIS,KINSETSU,"""KINSETSU"""
1739,0x2b8960,7,Shift_JIS,ENKAKU,"""ENKAKU"""
1740,0x2b8968,7,Shift_JIS,NIGERU,"""NIGERU"""
1741,0x2b8970,8,Shift_JIS,ENSPATK,"""ENSPATK"""
1742,0x2b8978,5,Shift_JIS,BACK,"""BACK"""
1743,0x2b8980,12,Shift_JIS,FAKE ATTACK,"""FAKE ATTACK"""
1744,0x2b898c,8,Shift_JIS,REVIVAL,"""REVIVAL"""
1745,0x2b8994,6,Shift_JIS,DUMMY,"""DUMMY"""
1746,0x2b899c,4,Shift_JIS,ABG,"""ABG"""
1747,0x2b89a0,12,Shift_JIS,M%c%03d.MLD,"""M%c%03d.MLD"""
1748,0x2b89ac,18,Shift_JIS,E%02d%03d%02d.MLD,"""E%02d%03d%02d.MLD"""
1749,0x2b89c0,18,Shift_JIS,Error: tasSetTask,"""Error: tasSetTask"""
1750,0x2b89d4,13,Shift_JIS,E99%02d%02d0,"""E99%02d%02d0"""
1751,0x2b89e4,11,Shift_JIS,何もしない,"""\x89\xBD\x82\xE0\x82\xB5\x82\xC8\x82\xA2"""
1752,0x2b89f0,9,Shift_JIS,直接攻撃,"""\x92\xBC\x90\xDA\x8DU\x8C\x82"""
1753,0x2b89fc,17,Shift_JIS,クリティカル攻撃,"""\x83N\x83\x8A\x83e\x83B\x83J\x83\x8B\x8DU\x8C\x82"""
